100 2
0, -49.04, 16.95
1, 25.50, -22.22
2, -18.87, -48.07
3, -15.95, 43.58
4, -15.29, -43.87
5, -15.62, 2.10
6, 11.69, -20.10
7, 44.19, 10.19
8, -10.55, 19.76
9, 18.85, 40.58
10, 40.84, -26.30
11, 3.60, -48.97
12, -42.45, 17.53
13, 47.05, 3.99
14, 39.66, 49.64
15, 21.53, 40.63
16, 16.59, -2.97
17, -31.59, 47.72
18, -1.03, 2.45
19, 41.29, 33.68
20, 8.59, -24.33
21, -14.22, -29.73
22, 5.58, -20.04
23, 30.47, 45.02
24, 49.72, -0.69
25, 35.60, 40.56
26, 23.01, -10.80
27, 41.59, 30.56
28, -43.27, 38.64
29, -15.45, 46.39
30, 38.28, -43.92
31, 37.02, 4.88
32, 3.12, -44.58
33, 2.59, -47.92
34, 7.88, -6.11
35, 35.77, -33.54
36, 19.56, -28.46
37, -13.27, -24.87
38, 1.51, -32.80
39, -29.84, 1.23
40, 16.51, -44.24
41, -8.21, -10.48
42, -5.05, -16.62
43, -29.92, 1.68
44, -27.97, 4.63
45, -1.93, -39.69
46, 10.72, -14.91
47, 15.19, -36.17
48, -9.49, -32.22
49, -34.08, 48.39
50, 11.67, -48.32
51, -35.15, -18.78
52, -26.77, 1.59
53, 6.36, 24.74
54, 18.79, 26.51
55, -24.03, -14.70
56, 32.27, 17.76
57, 24.82, -22.78
58, -48.86, 44.90
59, 28.90, -26.83
60, -0.47, -23.03
61, -16.52, -39.75
62, 12.06, 48.67
63, -25.92, -47.43
64, -33.55, -10.00
65, -49.04, 28.11
66, -8.31, -34.19
67, -40.67, 14.92
68, 17.40, 15.69
69, -10.35, -13.81
70, -7.80, 15.62
71, 21.49, -25.53
72, -16.62, -3.70
73, 1.69, -15.48
74, -8.79, -19.41
75, 7.69, 40.74
76, 7.56, 41.17
77, -49.01, -30.38
78, 39.84, -24.93
79, -27.81, -43.71
80, 15.08, -26.85
81, 34.40, -43.23
82, -11.03, 43.73
83, 21.68, -43.63
84, 9.42, -38.67
85, -7.44, -48.37
86, 26.95, -35.95
87, -23.90, -39.67
88, 10.35, 27.79
89, -5.15, -48.44
90, -41.62, -47.46
91, 42.30, 15.95
92, 43.72, 43.29
93, 35.56, 33.56
94, -31.64, -42.24
95, 39.85, 33.44
96, -19.09, 24.25
97, 40.20, 19.88
98, 17.98, 11.89
99, 26.25, -22.60
